汉字,漢越語,IPA,聲調,拼音,攝別,四聲,韻目,字母,開合,等第,清濁,上字,下字,,,,,,,,,,,
杭,Hàng,ha:ŋ2,弦聲,háng,宕,平,唐,匣,開,一,全濁,胡,郎,,,,,,,,,,,
杯,Bôi,boj1,平聲,bēi,蟹,平,灰,幫,合,一,全清,布,回,,,,,,,,,,,
杰,Kiệt,kiet8,重入,jié,山,入,薛,羣,開,三,全濁,渠,列,,,,,,,,,,,
東,Đông,doŋ1,平聲,dōng,通,平,東,端,合,一,全清,德,紅,,,,,,,,,,,
杲,Cảo,ka:w3,問聲,gǎo,效,上,晧,見,開,一,全清,古,老,,,,,,,,,,,
杳,Yểu,iew3,問聲,yǎo,效,上,篠,影,開,四,全清,烏,皎,,,,,,,,,,,
杵,Xử,sɯ3,問聲,chǔ,遇,上,語,昌,開,三,次清,昌,與,,,,,,,,,,,
杶,Suân,ʂwɤn1,平聲,qūn,臻,平,諄,徹,合,三,次清,丑,倫,,,,,,,,,,,
杷,Bà,ba:2,弦聲,pá,假,平,麻,並,開,二,全濁,蒲,巴,,,,,,,,,,,
杻,Nữu,nɯw4,跌聲,chǒu,流,上,有,娘,開,三,次濁,女,久,,,,,,,,,,,
杼,Trữ,tʂɯ4,跌聲,zhù,遇,上,語,澄,開,三,全濁,直,呂,,,,,,,,,,,
松,Tùng,tuŋ2,弦聲,sōng,通,平,鍾,邪,合,三,全濁,祥,容,,,,,,,,,,,
板,Bản,ba:n3,問聲,bǎn,山,上,潸,幫,合,二,全清,布,綰,,,,,,,,,,,
枅,Phanh,fa:ɲ1,平聲,jī,蟹,平,齊,見,開,四,全清,古,奚,,,,,,,,,,,
枇,Tì,ti2,弦聲,pí,止,平,脂,並,開,三,全濁,房,脂,,,,,,,,,,,
枉,Uổng,uoŋ3,問聲,wǎng,宕,上,養,影,合,三,全清,紆,往,,,,,,,,,,,
枋,Phương,fɯɤŋ1,平聲,fāng,宕,平,陽,非,開,三,全清,府,良,,,,,,,,,,,
枌,Phần,fɤn2,弦聲,fén,臻,平,文,奉,合,三,全濁,符,分,,,,,,,,,,,
析,Tích,tiʧ7,銳入,xī,梗,入,錫,心,開,四,全清,先,擊,,,,,,,,,,,
枑,Hộ,ho6,重聲,hù,遇,去,暮,匣,合,一,全濁,胡,誤,,,,,,,,,,,
枕,Chẩm,tʂɤm3,問聲,zhěn,深,上,寑,章,開,三,全清,章,荏,,,,,,,,,,,
林,Lâm,lɤm1,平聲,lín,深,平,侵,來,開,三,次濁,力,尋,,,,,,,,,,,
枘,Nhuế,ɲwe5,銳聲,rùi,蟹,去,祭,日,合,三,次濁,而,銳,,,,,,,,,,,
枚,Mai,ma:j1,平聲,méi,蟹,平,灰,明,合,一,次濁,莫,杯,,,,,,,,,,,
果,Quả,qwa:3,問聲,guǒ,果,上,果,見,合,一,全清,古,火,,,,,,,,,,,
枝,Chi,tʂi1,平聲,zhī,止,平,支,章,開,三,全清,章,移,,,,,,,,,,,
枝,Kì,ki2,弦聲,qí,止,平,支,羣,開,三,全濁,渠,羈,,,,,,,,,,,
柜,Cự,kɯ6,重聲,jǔ,遇,上,語,見,開,三,全清,居,許,,,,,,,,,,,
欣,Hân,hɤn1,平聲,xīn,臻,平,欣,曉,開,三,次清,許,斤,,,,,,,,,,,
武,Vũ,vu4,跌聲,wǔ,遇,上,麌,微,合,三,次濁,文,甫,,,,,,,,,,,
歧,Kì,ki2,弦聲,qí,止,平,支,羣,開,三,全濁,巨,支,,,,,,,,,,,
歿,Một,mot8,重入,mò,臻,入,沒,明,合,一,次濁,莫,勃,,,,,,,,,,,
殀,Yểu,iew3,問聲,yǎo,效,上,小,影,開,三,全清,於,兆,,,,,,,,,,,
氓,Manh,ma:ɲ1,平聲,máng,梗,平,耕,明,開,二,次濁,莫,耕,,,,,,,,,,,
氛,Phân,fɤn1,平聲,fēn,臻,平,文,非,合,三,（次,府,文,,,,,,,,,,,
沓,Đạp,da:p8,重入,tà,咸,入,合,定,開,一,全濁,徒,合,,,,,,,,,,,
沫,Mạt,ma:t8,重入,mò,山,入,末,明,合,一,次濁,莫,撥,,,,,,,,,,,
沬,Muội,muoj6,重聲,mèi,止,去,未,微,合,三,次濁,無,沸,,,,,,,,,,,
沭,Thuật,t'wɤt8,重入,shù,臻,入,術,船,合,三,全濁,食,聿,,,,,,,,,,,
沮,Thư,t'ɯ1,平聲,jū,遇,平,魚,清,開,三,次清,七,余,,,,,,,,,,,
沮,Trở,tʂɤ:3,問聲,jǔ,遇,上,語,從,開,三,全濁,慈,呂,,,,,,,,,,,
沮,Tự,tɯ6,重聲,jū,遇,去,御,精,開,三,全清,將,預,,,,,,,,,,,
沱,Đà,da:2,弦聲,tuó,果,平,歌,定,開,一,全濁,徒,河,,,,,,,,,,,
河,Hà,ha:2,弦聲,hé,果,平,歌,匣,開,一,全濁,胡,歌,,,,,,,,,,,
沴,Lệ,le6,重聲,lì,蟹,去,霽,來,開,四,次濁,郎,計,,,,,,,,,,,
沸,Phí,fi5,銳聲,fèi,止,去,未,非,合,三,全清,方,味,,,,,,,,,,,
油,Du,zu1,平聲,yóu,流,平,尤,以,開,三,次濁,以,周,,,,,,,,,,,
治,Trị,tʂi6,重聲,zhì,止,去,至,澄,開,三,全濁,直,利,,,,,,,,,,,
沼,Chiểu,tʂiew3,問聲,zhǎo,效,上,小,章,開,三,全清,之,少,,,,,,,,,,,
沽,Cô,ko1,平聲,gū,遇,平,模,見,合,一,全清,古,胡,,,,,,,,,,,
沾,Triêm,tʂiem1,平聲,zhān,咸,平,鹽,知,開,三,全清,張,廉,,,,,,,,,,,
沿,Duyên,zwien1,平聲,yán,山,平,仙,以,合,三,次濁,與,專,,,,,,,,,,,
況,Huống,huoŋ5,銳聲,kuàng,宕,去,漾,曉,合,三,次清,許,訪,,,,,,,,,,,
泂,Huýnh,hwiɲ5,銳聲,jiǒng,梗,上,迥,匣,合,四,全濁,戶,頂,,,,,,,,,,,
泄,Tiết,tiet7,銳入,xiè,山,入,薛,心,開,三,全清,私,列,,,,,,,,,,,
泄,Duệ,zwe6,重聲,yì,蟹,去,祭,以,開,三,次濁,餘,制,,,,,,,,,,,
泅,Tù,tu2,弦聲,qiú,流,平,尤,邪,開,三,全濁,似,由,,,,,,,,,,,
泆,Dật,zɤt8,重入,yì,臻,入,質,以,開,三,次濁,夷,質,,,,,,,,,,,
泊,Bạc,ba:k8,重入,bó,宕,入,鐸,並,開,一,全濁,傍,各,,,,,,,,,,,
泌,Bí,bi5,銳聲,mì,止,去,至,幫,開,三,全清,兵,媚,,,,,,,,,,,
泑,Ửu,ɯw3,問聲,yǒu,流,上,黝,影,開,三,全清,於,糾,,,,,,,,,,,
泒,Cô,ko1,平聲,gū,遇,平,模,見,合,一,全清,古,胡,,,,,,,,,,,
泓,Hoằng,hwaŋ2,弦聲,hóng,梗,平,耕,影,合,二,全清,烏,宏,,,,,,,,,,,
泔,Cam,ka:m1,平聲,gān,咸,平,談,見,開,一,全清,古,三,,,,,,,,,,,
法,Pháp,fa:p7,銳入,fǎ,咸,入,乏,非,合,三,全清,方,乏,,,,,,,,,,,
泖,Mão,ma:w4,跌聲,mǎo,效,上,巧,明,開,二,次濁,莫,飽,,,,,,,,,,,
泗,Tứ,tɯ5,銳聲,sì,止,去,至,心,開,三,全清,息,利,,,,,,,,,,,
泝,Tố,to5,銳聲,sù,遇,去,暮,心,合,一,全清,桑,故,,,,,,,,,,,
泠,Linh,liɲ1,平聲,líng,梗,平,青,來,開,四,次濁,郎,丁,,,,,,,,,,,
泡,Phao,fa:w1,平聲,pāo,效,平,肴,滂,開,二,次清,匹,交,,,,,,,,,,,
泡,Bào,ba:w2,弦聲,pào,效,平,肴,並,開,二,全濁,薄,交,,,,,,,,,,,
波,Ba,ba:1,平聲,bō,果,平,戈,幫,合,一,全清,博,禾,,,,,,,,,,,
泣,Khấp,xɤp7,銳入,qì,深,入,緝,溪,開,三,次清,去,急,,,,,,,,,,,
泥,Nê,ne1,平聲,ní,蟹,平,齊,泥,開,四,次濁,奴,低,,,,,,,,,,,
注,Chú,tʂu5,銳聲,zhù,遇,去,遇,章,合,三,全清,之,戍,,,,,,,,,,,
泫,Huyễn,hwien4,跌聲,xuàn,山,上,銑,匣,合,四,全濁,胡,畎,,,,,,,,,,,
泮,Phán,fa:n5,銳聲,pàn,山,去,換,滂,合,一,次清,普,半,,,,,,,,,,,
泯,Dân,zɤn1,平聲,mǐn,臻,平,真,明,開,三,次濁,彌,鄰,,,,,,,,,,,
泯,Mẫn,mɤn4,跌聲,mǐn,臻,上,軫,明,開,三,次濁,武,盡,,,,,,,,,,,
泱,Ương,ɯɤŋ1,平聲,yāng,宕,平,陽,影,開,三,全清,於,良,,,,,,,,,,,
泳,Vịnh,viɲ6,重聲,yǒng,梗,去,映,云,合,三,次濁,為,命,,,,,,,,,,,
炁,Khí,xi5,銳聲,qì,止,去,未,溪,開,三,次清,去,既,,,,,,,,,,,
炊,Xuy,swi1,平聲,chuī,止,平,支,昌,合,三,次清,昌,垂,,,,,,,,,,,
炎,Viêm,viem1,平聲,yán,咸,平,鹽,云,開,三,次濁,于,廉,,,,,,,,,,,
炒,Sao,ʂa:w1,平聲,chǎo,效,上,巧,初,開,二,次清,初,爪,,,,,,,,,,,
炕,Kháng,xa:ŋ5,銳聲,kàng,宕,去,宕,溪,開,一,次清,苦,浪,,,,,,,,,,,
炙,Chích,tʂiʧ7,銳入,zhì,梗,入,昔,章,開,三,全清,之,石,,,,,,,,,,,
炙,Chá,tʂa:5,銳聲,zhì,假,去,禡,章,開,三,全清,之,夜,,,,,,,,,,,
炬,Cự,kɯ6,重聲,jù,遇,上,語,羣,開,三,全濁,其,呂,,,,,,,,,,,
爬,Ba,ba:1,平聲,pá,假,平,麻,並,開,二,全濁,蒲,巴,,,,,,,,,,,
爭,Tranh,tʂa:ɲ1,平聲,zhēng,梗,平,耕,莊,開,二,全清,側,莖,,,,,,,,,,,
爸,Ba,ba:1,平聲,bà,果,上,果,並,合,一,全濁,捕,可,,,,,,,,,,,
牀,Sàng,ʂa:ŋ2,弦聲,chuáng,宕,平,陽,崇,開,三,全濁,士,莊,,,,,,,,,,,
版,Bản,ba:n3,問聲,bǎn,山,上,潸,幫,合,二,全清,布,綰,,,,,,,,,,,
牧,Mục,muk8,重入,mù,通,入,屋,明,合,三,次濁,莫,六,,,,,,,,,,,
物,Vật,vɤt8,重入,wù,臻,入,物,微,合,三,次濁,文,弗,,,,,,,,,,,
狀,Trạng,tʂa:ŋ6,重聲,zhuàng,宕,去,漾,崇,開,三,全濁,鋤,亮,,,,,,,,,,,
狌,Tinh,tiɲ1,平聲,xīng,梗,平,庚,生,開,二,全清,所,庚,,,,,,,,,,,
狎,Hiệp,hiep8,重入,xiá,咸,入,狎,匣,開,二,全濁,胡,甲,,,,,,,,,,,
狐,Hồ,ho2,弦聲,hú,遇,平,模,匣,合,一,全濁,戶,吳,,,,,,,,,,,
狒,Phí,fi5,銳聲,fèi,止,去,未,奉,合,三,全濁,扶,沸,,,,,,,,,,,
狓,Phi,fi1,平聲,pī,止,平,支,滂,開,三,次清,敷,羈,,,,,,,,,,,
狖,Dứu,zɯw5,銳聲,yòu,流,去,宥,以,開,三,次濁,余,救,,,,,,,,,,,
狗,Cẩu,kɤw3,問聲,gǒu,流,上,厚,見,開,一,全清,古,厚,,,,,,,,,,,
狙,Thư,t'ɯ1,平聲,jū,遇,平,魚,清,開,三,次清,七,余,,,,,,,,,,,
狚,Đán,da:n5,銳聲,dàn,山,去,翰,端,開,一,全清,得,按,,,,,,,,,,,
玞,Phu,fu1,平聲,fū,遇,平,虞,非,合,三,全清,甫,無,,,,,,,,,,,
玦,Quyết,kwiet7,銳入,jué,山,入,屑,見,合,四,全清,古,穴,,,,,,,,,,,
玨,Giác,ʑa:k7,銳入,jué,江,入,覺,見,開,二,全清,古,岳,,,,,,,,,,,
玩,Ngoạn,ŋwa:n6,重聲,wán,山,去,換,疑,合,一,次濁,五,換,,,,,,,,,,,
玫,Mân,mɤn1,平聲,méi,蟹,平,灰,明,合,一,次濁,莫,杯,,,,,,,,,,,
瓬,Phưởng,fɯɤŋ3,問聲,fǎng,宕,上,養,非,開,三,全清,分,网,,,,,,,,,,,
瓮,Úng,uŋ5,銳聲,wèng,通,去,送,影,合,一,全清,烏,貢,,,,,,,,,,,
畀,Tí,ti5,銳聲,bì,止,去,至,幫,開,三,全清,必,至,,,,,,,,,,,
畂,Điền,dien2,弦聲,mǔ,流,去,宥,來,開,三,次濁,力,救,,,,,,,,,,,
疘,Giang,ʑa:ŋ1,平聲,gōng,通,平,東,見,合,一,全清,古,紅,,,,,,,,,,,
疙,Ngật,ŋɤt8,重入,gē,臻,入,迄,疑,開,三,次濁,魚,迄,,,,,,,,,,,
疚,Cứu,kɯw5,銳聲,jiù,流,去,宥,見,開,三,全清,居,祐,,,,,,,,,,,
疝,Sán,ʂa:n5,銳聲,shàn,山,去,諫,生,開,二,全清,所,晏,,,,,,,,,,,
的,Đích,diʧ7,銳入,dì,梗,入,錫,端,開,四,全清,都,歷,,,,,,,,,,,
盂,Vu,vu1,平聲,yú,遇,平,虞,云,合,三,次濁,羽,俱,,,,,,,,,,,
盱,Hu,hu1,平聲,xū,遇,平,虞,曉,合,三,次清,況,于,,,,,,,,,,,
盲,Manh,ma:ɲ1,平聲,máng,梗,平,庚,明,開,二,次濁,武,庚,,,,,,,,,,,
直,Trực,tʂɯk8,重入,zhí,曾,入,職,澄,開,三,全濁,除,力,,,,,,,,,,,
知,Tri,tʂi1,平聲,zhī,止,平,支,知,開,三,全清,陟,離,,,,,,,,,,,
矻,Ngột,ŋot8,重入,kù,臻,入,沒,溪,合,一,次清,苦,骨,,,,,,,,,,,
矼,Cang,ka:ŋ1,平聲,jiāng,江,平,江,見,開,二,全清,古,雙,,,,,,,,,,,
祇,Kì,ki2,弦聲,qí,止,平,支,羣,開,三,全濁,巨,支,,,,,,,,,,,
祇,Chi,tʂi1,平聲,zhǐ,止,平,支,章,開,三,全清,章,移,,,,,,,,,,,
祈,Kì,ki2,弦聲,qí,止,平,微,羣,開,三,全濁,渠,希,,,,,,,,,,,
祉,Chỉ,tʂi3,問聲,zhǐ,止,上,止,徹,開,三,次清,敕,里,,,,,,,,,,,
祊,Banh,ba:ɲ1,平聲,bēng,梗,平,庚,幫,開,二,全清,甫,盲,,,,,,,,,,,
秆,Cán,ka:n5,銳聲,gǎn,山,上,旱,見,開,一,全清,古,旱,,,,,,,,,,,
秈,Tiên,tien1,平聲,xiān,山,平,仙,心,開,三,全清,相,然,,,,,,,,,,,
秉,Bỉnh,biɲ3,問聲,bǐng,梗,上,梗,幫,開,三,全清,兵,永,,,,,,,,,,,
秊,Niên,nien1,平聲,nián,山,平,先,泥,開,四,次濁,奴,顛,,,,,,,,,,,
穸,Tịch,tiʧ8,重入,xì,梗,入,昔,邪,開,三,全濁,祥,易,,,,,,,,,,,
穹,Khung,xuŋ1,平聲,qióng,通,平,東,溪,合,三,次清,去,宮,,,,,,,,,,,
空,Không,koŋ1,平聲,kōng,通,平,東,溪,合,一,次清,苦,紅,,,,,,,,,,,
空,Khống,koŋ5,銳聲,kòng,通,去,送,溪,合,一,次清,苦,貢,,,,,,,,,,,
竺,Trúc,tʂuk7,銳入,zhú,通,入,屋,知,合,三,全清,張,六,,,,,,,,,,,
竺,Đốc,dok7,銳入,zhú,通,入,沃,端,合,一,全清,冬,毒,,,,,,,,,,,
糾,Củ,ku3,問聲,jiū,流,上,黝,見,開,三,全清,居,黝,,,,,,,,,,,
罔,Võng,vɔŋ4,跌聲,wǎng,宕,上,養,微,開,三,次濁,文,兩,,,,,,,,,,,
者,Giả,ʑa:3,問聲,zhě,假,上,馬,章,開,三,全清,章,也,,,,,,,,,,,
耶,Da,za:1,平聲,yé,假,平,麻,以,開,三,次濁,以,遮,,,,,,,,,,,
股,Cổ,ko3,問聲,gǔ,遇,上,姥,見,合,一,全清,公,戶,,,,,,,,,,,
肢,Chi,tʂi1,平聲,zhī,止,平,支,章,開,三,全清,章,移,,,,,,,,,,,
肥,Phì,fi2,弦聲,féi,止,平,微,奉,合,三,全濁,符,非,,,,,,,,,,,
肧,Phôi,foj1,平聲,pēi,蟹,平,灰,滂,合,一,次清,芳,杯,,,,,,,,,,,
肩,Kiên,kien1,平聲,jiān,山,平,先,見,開,四,全清,古,賢,,,,,,,,,,,
肪,Phương,fɯɤŋ1,平聲,fáng,宕,平,陽,非,開,三,全清,府,良,,,,,,,,,,,
肫,Truân,tʂwɤn1,平聲,zhūn,臻,平,諄,章,合,三,全清,章,倫,,,,,,,,,,,
肬,Vưu,vɯw1,平聲,yóu,流,平,尤,云,開,三,次濁,羽,求,,,,,,,,,,,
肭,Nạp,na:p8,重入,nà,山,入,黠,娘,合,二,次濁,女,滑,,,,,,,,,,,
肯,Khẳng,xaŋ3,問聲,kěn,曾,上,等,溪,開,一,次清,苦,等,,,,,,,,,,,
肱,Quăng,kwaŋ1,平聲,gōng,曾,平,登,見,合,一,全清,古,弘,,,,,,,,,,,
育,Dục,zuk8,重入,yù,通,入,屋,以,合,三,次濁,余,六,,,,,,,,,,,
肴,Hào,ha:w2,弦聲,yáo,效,平,肴,匣,開,二,全濁,胡,茅,,,,,,,,,,,
肸,Hật,hɤt8,重入,xì,臻,入,迄,曉,開,三,次清,許,訖,,,,,,,,,,,
肺,Phế,fe5,銳聲,fèi,蟹,去,廢,敷,合,三,次清,芳,廢,,,,,,,,,,,
胏,Chỉ,tʂi3,問聲,zǐ,止,上,止,莊,開,三,全清,阻,史,,,,,,,,,,,
臥,Ngọa,ŋwa:6,重聲,wò,果,去,過,疑,合,一,次濁,吾,貨,,,,,,,,,,,
臾,Du,zu1,平聲,yú,遇,平,虞,以,合,三,次濁,羊,朱,,,,,,,,,,,
舍,Xả,sa:3,問聲,shě,假,上,馬,書,開,三,全清,書,冶,,,,,,,,,,,
舍,Xá,sa:5,銳聲,shè,假,去,禡,書,開,三,全清,始,夜,,,,,,,,,,,
舠,Đao,da:w1,平聲,dāo,效,平,豪,端,開,一,全清,都,牢,,,,,,,,,,,
苑,Uyển,wien3,問聲,yuàn,山,上,阮,影,合,三,全清,於,阮,,,,,,,,,,,
苒,Nhiễm,ɲiem4,跌聲,rǎn,咸,上,琰,日,開,三,次濁,而,琰,,,,,,,,,,,
苓,Linh,liɲ1,平聲,líng,梗,平,青,來,開,四,次濁,郎,丁,,,,,,,,,,,
苔,Đài,da:j2,弦聲,tái,蟹,平,咍,定,開,一,全濁,徒,哀,,,,,,,,,,,
苕,Thiều,t'iew2,弦聲,tiáo,效,平,蕭,定,開,四,全濁,徒,聊,,,,,,,,,,,
苖,Địch,diʧ8,重入,dí,梗,入,錫,定,開,四,全濁,徒,歷,,,,,,,,,,,
苗,Miêu,miew1,平聲,miáo,效,平,宵,明,開,三,次濁,武,瀌,,,,,,,,,,,
苙,Lập,lɤp8,重入,lì,深,入,緝,來,開,三,次濁,力,入,,,,,,,,,,,
苛,Hà,ha:2,弦聲,kē,果,平,歌,匣,開,一,全濁,胡,歌,,,,,,,,,,,
苜,Mục,muk8,重入,mù,通,入,屋,明,合,三,次濁,莫,六,,,,,,,,,,,
苞,Bao,ba:w1,平聲,bāo,效,平,肴,幫,開,二,全清,布,交,,,,,,,,,,,
苟,Cẩu,kɤw3,問聲,gǒu,流,上,厚,見,開,一,全清,古,厚,,,,,,,,,,,
苢,Dĩ,zi4,跌聲,yǐ,止,上,止,以,開,三,次濁,羊,己,,,,,,,,,,,
若,Nhã,ɲa:4,跌聲,rè,假,上,馬,日,開,三,次濁,人,者,,,,,,,,,,,
若,Nhược,ɲɯɤk8,重入,ruò,宕,入,藥,日,開,三,次濁,而,灼,,,,,,,,,,,
苦,Khổ,ko3,問聲,kǔ,遇,上,姥,溪,合,一,次清,康,杜,,,,,,,,,,,
苧,Trữ,tʂɯ4,跌聲,zhù,遇,上,語,澄,開,三,全濁,直,呂,,,,,,,,,,,
苫,Thiêm,t'iem1,平聲,shān,咸,平,鹽,書,開,三,全清,失,廉,,,,,,,,,,,
苯,Bổn,bon3,問聲,běn,臻,上,混,幫,合,一,全清,布,忖,,,,,,,,,,,
英,Anh,a:ɲ1,平聲,yīng,梗,平,庚,影,開,三,全清,於,驚,,,,,,,,,,,
苴,Tư,tɯ1,平聲,jū,遇,平,魚,精,開,三,全清,子,魚,,,,,,,,,,,
苶,Niết,niet7,銳入,nié,山,入,屑,泥,開,四,次濁,奴,結,,,,,,,,,,,
苹,Bình,biɲ2,弦聲,píng,梗,平,庚,並,開,三,全濁,符,兵,,,,,,,,,,,
苺,Môi,moj1,平聲,méi,流,去,候,明,開,一,次濁,莫,候,,,,,,,,,,,
苻,Phù,fu2,弦聲,fú,遇,平,虞,奉,合,三,全濁,防,無,,,,,,,,,,,
苽,Cô,ko1,平聲,gū,遇,平,模,見,合,一,全清,古,胡,,,,,,,,,,,
苾,Bật,bɤt8,重入,bì,臻,入,質,並,開,三,全濁,毗,必,,,,,,,,,,,
茀,Phất,fɤt7,銳入,fú,臻,入,物,敷,合,三,次清,敷,勿,,,,,,,,,,,
茁,Truất,tʂwɤt7,銳入,zhuó,臻,入,術,莊,合,三,全清,鄒,律,,,,,,,,,,,
茂,Mậu,mɤw6,重聲,mào,流,去,候,明,開,一,次濁,莫,候,,,,,,,,,,,
范,Phạm,fa:m6,重聲,fàn,咸,上,范,奉,合,三,全濁,防,錽,,,,,,,,,,,
茄,Gia,ʑa:1,平聲,qié,假,平,麻,見,開,二,全清,古,牙,,,,,,,,,,,
茅,Mao,ma:w1,平聲,máo,效,平,肴,明,開,二,次濁,莫,交,,,,,,,,,,,
茆,Lữu,lɯw4,跌聲,mǎo,流,上,有,來,開,三,次濁,力,久,,,,,,,,,,,
茇,Bạt,ba:t8,重入,bá,山,入,末,並,合,一,全濁,蒲,撥,,,,,,,,,,,
虎,Hổ,ho3,問聲,hǔ,遇,上,姥,曉,合,一,次清,呼,古,,,,,,,,,,,
虯,Cầu,kɤw2,弦聲,qiú,流,平,幽,羣,開,三,全濁,渠,幽,,,,,,,,,,,
表,Biểu,biew3,問聲,biǎo,效,上,小,幫,開,三,全清,陂,矯,,,,,,,,,,,
衩,Xái,sa:j5,銳聲,chà,蟹,去,卦,初,開,二,次清,楚,懈,,,,,,,,,,,
衫,Sam,ʂa:m1,平聲,shān,咸,平,銜,生,開,二,全清,所,銜,,,,,,,,,,,
軋,Yết,iet7,銳入,yà,山,入,黠,影,開,二,全清,烏,黠,,,,,,,,,,,
迢,Điều,diew2,弦聲,tiáo,效,平,蕭,定,開,四,全濁,徒,聊,,,,,,,,,,,
迥,Huýnh,hwiɲ5,銳聲,jiǒng,梗,上,迥,匣,合,四,全濁,戶,頂,,,,,,,,,,,
迦,Ca,ka:1,平聲,jiā,果,平,戈,見,開,三,全清,居,伽,,,,,,,,,,,
迦,Già,ʑa:2,弦聲,jiā,假,平,麻,見,開,二,全清,古,牙,,,,,,,,,,,
迨,Đãi,da:j4,跌聲,dài,蟹,上,海,定,開,一,全濁,徒,亥,,,,,,,,,,,
迪,Địch,diʧ8,重入,dí,梗,入,錫,定,開,四,全濁,徒,歷,,,,,,,,,,,
迫,Bách,ba:ʧ7,銳入,pò,梗,入,陌,幫,開,二,全清,博,陌,,,,,,,,,,,
迭,Điệt,diet8,重入,dié,山,入,屑,定,開,四,全濁,徒,結,,,,,,,,,,,
述,Thuật,t'wɤt8,重入,shù,臻,入,術,船,合,三,全濁,食,聿,,,,,,,,,,,
邾,Chu,tʂu1,平聲,zhū,遇,平,虞,知,合,三,全清,陟,輸,,,,,,,,,,,
郁,Úc,uk7,銳入,yù,通,入,屋,影,合,三,全清,於,六,,,,,,,,,,,
郃,Cáp,ka:p7,銳入,gé,咸,入,合,見,開,一,全清,古,沓,,,,,,,,,,,
郅,Chất,tʂɤt7,銳入,zhì,臻,入,質,章,開,三,全清,之,日,,,,,,,,,,,
郇,Tuân,twɤn1,平聲,xún,臻,平,諄,心,合,三,全清,相,倫,,,,,,,,,,,
郈,Hậu,hɤw6,重聲,hòu,流,上,厚,匣,開,一,全濁,胡,口,,,,,,,,,,,
郉,Hình,hiɲ2,弦聲,xíng,山,平,先,溪,開,四,次清,苦,堅,,,,,,,,,,,
郊,Giao,ʑa:w1,平聲,jiāo,效,平,肴,見,開,二,全清,古,肴,,,,,,,,,,,
郎,Lang,la:ŋ1,平聲,láng,宕,平,唐,來,開,一,次濁,魯,當,,,,,,,,,,,
采,Thải,t'a:j3,問聲,cǎi,蟹,上,海,清,開,一,次清,倉,宰,,,,,,,,,,,
金,Kim,kim1,平聲,jīn,深,平,侵,見,開,三,全清,居,吟,,,,,,,,,,,
長,Trường,tʂɯɤŋ2,弦聲,cháng,宕,平,陽,澄,開,三,全濁,直,良,,,,,,,,,,,
長,Trưởng,tʂɯɤŋ3,問聲,zhǎng,宕,上,養,知,開,三,全清,知,丈,,,,,,,,,,,
門,Môn,mon1,平聲,mén,臻,平,魂,明,合,一,次濁,莫,奔,,,,,,,,,,,
阜,Phụ,fu6,重聲,fù,流,上,有,奉,開,三,全濁,房,久,,,,,,,,,,,
陋,Lậu,lɤw6,重聲,lòu,流,去,候,來,開,一,次濁,盧,候,,,,,,,,,,,
陌,Mạch,ma:ʧ8,重入,mò,梗,入,陌,明,開,二,次濁,莫,白,,,,,,,,,,,
降,Giáng,ʑa:ŋ5,銳聲,jiàng,江,去,絳,見,開,二,全清,古,巷,,,,,,,,,,,
降,Hàng,ha:ŋ2,弦聲,jiàng,江,平,江,匣,開,二,全濁,下,江,,,,,,,,,,,
限,Hạn,ha:n6,重聲,xiàn,山,上,產,匣,開,二,全濁,胡,簡,,,,,,,,,,,
陔,Cai,ka:j1,平聲,gāi,蟹,平,咍,見,開,一,全清,古,哀,,,,,,,,,,,
陕,Thiểm,t'iem3,問聲,shǎn,咸,上,琰,書,開,三,全清,失,冉,,,,,,,,,,,
隶,Đãi,da:j4,跌聲,dài,蟹,去,代,定,開,一,全濁,徒,耐,,,,,,,,,,,
隹,Chuy,tʂwi1,平聲,zhuī,止,平,脂,章,合,三,全清,職,追,,,,,,,,,,,
雨,Vũ,vu4,跌聲,yǔ,遇,上,麌,云,合,三,次濁,王,矩,,,,,,,,,,,
雨,Vú,vu5,銳聲,yù,遇,去,遇,云,合,三,次濁,王,遇,,,,,,,,,,,
青,Thanh,t'a:ɲ1,平聲,qīng,梗,平,青,清,開,四,次清,倉,經,,,,,,,,,,,
非,Phi,fi1,平聲,fēi,止,平,微,非,合,三,全清,甫,微,,,,,,,,,,,
亭,Đình,diɲ2,弦聲,tíng,梗,平,青,定,開,四,全濁,特,丁,,,,,,,,,,,
亮,Lượng,lɯɤŋ6,重聲,liàng,宕,去,漾,來,開,三,次濁,力,讓,,,,,,,,,,,
亯,Hanh,ha:ɲ1,平聲,xiǎng,宕,上,養,曉,開,三,次清,許,兩,,,,,,,,,,,
侮,Vũ,vu4,跌聲,wǔ,遇,上,麌,微,合,三,次濁,文,甫,,,,,,,,,,,
侯,Hầu,hɤw2,弦聲,hóu,流,平,侯,匣,開,一,全濁,戶,鉤,,,,,,,,,,,
侵,Xâm,sɤm1,平聲,qīn,深,平,侵,清,開,三,次清,七,林,,,,,,,,,,,
侶,Lữ,lɯ4,跌聲,lǚ,遇,上,語,來,開,三,次濁,力,舉,,,,,,,,,,,
侷,Cục,kuk8,重入,jú,通,入,燭,羣,合,三,全濁,渠,玉,,,,,,,,,,,
便,Tiện,tien6,重聲,biàn,山,去,線,並,開,三,全濁,婢,面,,,,,,,,,,,
係,Hệ,he6,重聲,xì,蟹,去,霽,見,開,四,全清,古,詣,,,,,,,,,,,
