汉字,漢越語,IPA,聲調,拼音,攝別,四聲,韻目,字母,開合,等第,清濁,上字,下字,,,,,,,,,,,
屯,Đồn,don2,弦聲,tún,臻,平,魂,定,合,一,全濁,徒,渾,,,,,,,,,,,
屯,Truân,tʂwɤn1,平聲,zhūn,臻,平,諄,知,合,三,全清,陟,綸,,,,,,,,,,,
巴,Ba,ba:1,平聲,bā,假,平,麻,幫,開,二,全清,伯,加,,,,,,,,,,,
巿,Phất,fɤt7,銳入,fú,臻,入,物,非,合,三,全清,分,勿,,,,,,,,,,,
帀,Táp,ta:p7,銳入,zā,咸,入,合,精,開,一,全清,子,荅,,,,,,,,,,,
幻,Huyễn,hwien4,跌聲,huàn,山,去,襉,匣,合,二,全濁,胡,辨,,,,,,,,,,,
廿,Nhập,ɲɤp8,重入,niàn,深,入,緝,日,開,三,次濁,人,執,,,,,,,,,,,
弌,Nhất,ɲɤt7,銳入,yī,臻,入,質,影,開,三,全清,於,悉,,,,,,,,,,,
弔,Điếu,diew5,銳聲,diào,效,去,嘯,端,開,四,全清,多,嘯,,,,,,,,,,,
弔,Đích,diʧ7,銳入,diào,梗,入,錫,端,開,四,全清,都,歷,,,,,,,,,,,
引,Dẫn,zɤn4,跌聲,yǐn,臻,上,軫,以,開,三,次濁,余,忍,,,,,,,,,,,
心,Tâm,tɤm1,平聲,xīn,深,平,侵,心,開,三,全清,息,林,,,,,,,,,,,
戈,Qua,qwa:1,平聲,gē,果,平,戈,見,合,一,全清,古,禾,,,,,,,,,,,
戶,Hộ,ho6,重聲,hù,遇,上,姥,匣,合,一,全濁,侯,古,,,,,,,,,,,
手,Thủ,t'u3,問聲,shǒu,流,上,有,書,開,三,全清,書,九,,,,,,,,,,,
扎,Trát,tʂa:t7,銳入,zhā,山,入,黠,莊,開,二,全清,側,八,,,,,,,,,,,
支,Chi,tʂi1,平聲,zhī,止,平,支,章,開,三,全清,章,移,,,,,,,,,,,
攴,Phộc,fok8,重入,pū,通,入,屋,滂,合,一,次清,普,木,,,,,,,,,,,
文,Văn,van1,平聲,wén,臻,平,文,微,合,三,次濁,無,分,,,,,,,,,,,
斗,Đẩu,dɤw3,問聲,dǒu,流,上,厚,端,開,一,全清,當,口,,,,,,,,,,,
斤,Cân,kɤn1,平聲,jīn,臻,平,欣,見,開,三,全清,舉,欣,,,,,,,,,,,
方,Phương,fɯɤŋ1,平聲,fāng,宕,平,陽,非,開,三,全清,府,良,,,,,,,,,,,
旡,Kí,ki5,銳聲,jì,止,去,未,見,開,三,全清,居,豙,,,,,,,,,,,
日,Nhật,ɲɤt8,重入,rì,臻,入,質,日,開,三,次濁,人,質,,,,,,,,,,,
曰,Viết,viet7,銳入,yuē,山,入,月,云,合,三,次濁,王,伐,,,,,,,,,,,
